[2026-03-10 07:22:10] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 07:22:18] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 07:22:19] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 08:32:27] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 08:32:30] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 08:32:32] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-10 08:32:32] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Requested device not found'}
[2026-03-10 08:38:20] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-10 08:38:24] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-13 09:19:52] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-13 09:30:18] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-13 09:30:22] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-13 09:41:02] IP: 127.0.0.1 | OS: Windows | {'status': 'requested'}
[2026-03-13 09:41:07] IP: 127.0.0.1 | OS: Windows | {'status': 'granted'}
[2026-03-13 10:28:01] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:28:02] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-13 10:30:15] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:30:15] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-13 10:31:14] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:31:14] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-13 10:31:21] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-13 10:42:56] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:42:56] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Permission denied'}
[2026-03-13 10:43:26] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:43:27] IP: 127.0.0.1 | OS: Android | {'status': 'granted'}
[2026-03-13 10:43:39] IP: 127.0.0.1 | OS: Android | {'status': 'requested'}
[2026-03-13 10:43:47] IP: 127.0.0.1 | OS: Android | {'status': 'denied', 'error': 'Requested device not found'}
